id,mime,decoded_bytes,decoded_human,instances,distinct_pages,shared,footprint_bytes,recommended_action,example_page,all_pages,hash
img-067,png,26729,26.1 KB,2,1,no,53458,convert to WebP,gopher-customer-deals.html,gopher-customer-deals.html,1852e5abf1d5
img-068,png,24435,23.9 KB,2,1,no,48870,convert to WebP,gopher-customer-deals.html,gopher-customer-deals.html,c21f483943bd
img-069,png,48507,47.4 KB,1,1,no,48507,convert to WebP,index.html,index.html,27572527f002
img-070,jpeg,47728,46.6 KB,1,1,no,47728,convert to WebP,gopher-connect.html,gopher-connect.html,b0b1cea9c58c
img-071,png,23753,23.2 KB,2,1,no,47506,convert to WebP,gopher-customer-deals.html,gopher-customer-deals.html,80f2809668f9
img-072,jpeg,46862,45.8 KB,1,1,no,46862,convert to WebP,gopher-connect.html,gopher-connect.html,c9acbd5b305a
img-073,png,21948,21.4 KB,2,1,no,43896,convert to WebP,gopher-customer-deals.html,gopher-customer-deals.html,b7335d081c98
img-074,png,21892,21.4 KB,2,1,no,43784,convert to WebP,gopher-customer-deals.html,gopher-customer-deals.html,52cfb1327e86
img-075,png,21363,20.9 KB,2,1,no,42726,convert to WebP,gopher-customer-deals.html,gopher-customer-deals.html,67df51c5a89d
img-076,webp,41192,40.2 KB,1,1,no,41192,extract as-is (already WebP),gopher-request.html,gopher-request.html,fedece693b12
img-077,png,40315,39.4 KB,1,1,no,40315,convert to WebP,index.html,index.html,1286a5534c55
img-078,jpeg,40101,39.2 KB,1,1,no,40101,convert to WebP,gopher-connect.html,gopher-connect.html,460925777ae2
img-079,png,20031,19.6 KB,2,2,yes,40062,SHARED→one shared file; convert to WebP,gopher-request.html,gopher-request.html|index.html,3b89a4c03832
img-080,webp,19986,19.5 KB,2,2,yes,39972,SHARED→one shared file; extract as-is (already WebP),gopher-connect.html,gopher-connect.html|gopher-request.html,5a71fab1cbfe
img-081,webp,39514,38.6 KB,1,1,no,39514,extract as-is (already WebP),gopher-go.html,gopher-go.html,d5e2a75b5bb2
img-082,jpeg,38884,38.0 KB,1,1,no,38884,convert to WebP,gopher-request.html,gopher-request.html,0b74526fc977
img-083,png,19270,18.8 KB,2,1,no,38540,convert to WebP,gopher-customer-deals.html,gopher-customer-deals.html,9b9aa571c6a6
img-084,jpeg,38519,37.6 KB,1,1,no,38519,convert to WebP,gopher-connect.html,gopher-connect.html,85b32bc76ad4
img-085,png,38164,37.3 KB,1,1,no,38164,convert to WebP,index.html,index.html,ca5fd0812d35
img-086,png,19009,18.6 KB,2,1,no,38018,convert to WebP,gopher-customer-deals.html,gopher-customer-deals.html,9990a5525d6c
img-087,webp,37494,36.6 KB,1,1,no,37494,extract as-is (already WebP),gopher-request.html,gopher-request.html,8e40669905ba
img-088,webp,37408,36.5 KB,1,1,no,37408,extract as-is (already WebP),gopher-request.html,gopher-request.html,40c9e1769754
img-089,webp,18018,17.6 KB,2,2,yes,36036,SHARED→one shared file; extract as-is (already WebP),gopher-connect.html,gopher-connect.html|gopher-request.html,f69270715c9a
img-090,png,17650,17.2 KB,2,1,no,35300,convert to WebP,gopher-customer-deals.html,gopher-customer-deals.html,06a6ac8fdc4f
img-091,png,35035,34.2 KB,1,1,no,35035,convert to WebP,index.html,index.html,9733ea3f5305
img-092,webp,33394,32.6 KB,1,1,no,33394,extract as-is (already WebP),gopher-request.html,gopher-request.html,f013c46d622a
img-093,png,31640,30.9 KB,1,1,no,31640,convert to WebP,index.html,index.html,ccdafb0f7158
img-094,webp,31422,30.7 KB,1,1,no,31422,extract as-is (already WebP),gopher-request.html,gopher-request.html,e0049dc5d96e
img-095,png,30871,30.1 KB,1,1,no,30871,convert to WebP,gopher-connect.html,gopher-connect.html,e563ac444af1
img-096,png,30408,29.7 KB,1,1,no,30408,convert to WebP,gopher-deals.html,gopher-deals.html,9ef108757e18
img-097,webp,30102,29.4 KB,1,1,no,30102,extract as-is (already WebP),gopher-request.html,gopher-request.html,417b8304a691
img-098,webp,14816,14.5 KB,2,2,yes,29632,SHARED→one shared file; extract as-is (already WebP),gopher-connect.html,gopher-connect.html|gopher-request.html,2334b42e9cd4
img-099,webp,29620,28.9 KB,1,1,no,29620,extract as-is (already WebP),gopher-request.html,gopher-request.html,c91406802ea3
img-100,svg+xml,28823,28.1 KB,1,1,no,28823,extract .svg (keep vector),gopher-tiers.html,gopher-tiers.html,a5beb48b0976
img-101,webp,28270,27.6 KB,1,1,no,28270,extract as-is (already WebP),gopher-request.html,gopher-request.html,ad23fb699e19
img-102,webp,13692,13.4 KB,2,2,yes,27384,SHARED→one shared file; extract as-is (already WebP),gopher-connect.html,gopher-connect.html|gopher-request.html,bb107e4a3936
img-103,png,12836,12.5 KB,2,1,no,25672,convert to WebP,gopher-customer-deals.html,gopher-customer-deals.html,af727a80a6b1
img-104,webp,25516,24.9 KB,1,1,no,25516,extract as-is (already WebP),gopher-request.html,gopher-request.html,78dc468d5c47
img-105,webp,24646,24.1 KB,1,1,no,24646,extract as-is (already WebP),gopher-request.html,gopher-request.html,69786878317b
img-106,jpeg,24227,23.7 KB,1,1,no,24227,convert to WebP,gopher-blog.html,gopher-blog.html,b0b0a95ecbb5
img-107,webp,24024,23.5 KB,1,1,no,24024,extract as-is (already WebP),gopher-request.html,gopher-request.html,e6ea08a7f143
img-108,png,11565,11.3 KB,2,1,no,23130,convert to WebP,gopher-customer-deals.html,gopher-customer-deals.html,1259f7e4c6ab
img-109,webp,22336,21.8 KB,1,1,no,22336,extract as-is (already WebP),gopher-connect.html,gopher-connect.html,44a6f1d586bb
